[2026-07-22T06:14:52.067Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-22T06:14:52.072Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-22T06:14:52.072Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-22T06:14:52.073Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-22T06:14:52.074Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-22T06:14:52.074Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-22T06:14:52.075Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-22T06:14:52.077Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-22T06:14:52.079Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-22T06:14:52.081Z] [INFO] Daemon started (PID: 12580, CPUs: 8, workers: 7, maxCpuLoad: 6.4, minFreeMemoryPercent: 10%)
[2026-07-22T06:14:52.084Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T06:14:52.086Z] [INFO] Worker map completed in 4ms
[2026-07-22T06:16:52.078Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T06:16:52.080Z] [INFO] Worker audit completed in 4ms
[2026-07-22T06:18:52.088Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T06:18:52.090Z] [INFO] Worker optimize completed in 6ms
[2026-07-22T06:20:52.087Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-22T06:20:52.088Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-22T06:20:52.089Z] [INFO] Worker consolidate completed in 6ms
[2026-07-22T06:22:52.086Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T06:22:52.088Z] [INFO] Worker testgaps completed in 5ms
[2026-07-22T06:24:52.086Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-22T06:24:52.090Z] [INFO] Worker backup completed in 7ms
[2026-07-22T06:26:52.086Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-22T06:26:52.146Z] [INFO] Worker harness completed in 64ms
[2026-07-22T06:26:52.149Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T06:26:52.151Z] [INFO] Worker audit completed in 3ms
[2026-07-22T06:29:52.103Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T06:29:52.105Z] [INFO] Worker map completed in 6ms
[2026-07-22T06:33:52.111Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T06:33:52.113Z] [INFO] Worker optimize completed in 5ms
[2026-07-22T06:36:52.159Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T06:36:52.161Z] [INFO] Worker audit completed in 6ms
[2026-07-22T06:42:52.098Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T06:42:52.101Z] [INFO] Worker testgaps completed in 7ms
[2026-07-22T06:44:52.118Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T06:44:52.120Z] [INFO] Worker map completed in 6ms
[2026-07-22T06:46:52.176Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T06:46:52.178Z] [INFO] Worker audit completed in 6ms
[2026-07-22T06:48:52.121Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T06:48:52.124Z] [INFO] Worker optimize completed in 7ms
[2026-07-22T06:50:52.110Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-22T06:50:52.111Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-22T06:50:52.112Z] [INFO] Worker consolidate completed in 5ms
[2026-07-22T06:56:52.186Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T06:56:52.189Z] [INFO] Worker audit completed in 7ms
[2026-07-22T06:59:52.132Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T06:59:52.135Z] [INFO] Worker map completed in 7ms
[2026-07-22T07:02:52.107Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T07:02:52.110Z] [INFO] Worker testgaps completed in 6ms
[2026-07-22T07:03:52.141Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T07:03:52.145Z] [INFO] Worker optimize completed in 10ms
[2026-07-22T07:06:52.202Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T07:06:52.204Z] [INFO] Worker audit completed in 7ms
[2026-07-22T07:14:52.143Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T07:14:52.144Z] [INFO] Worker map completed in 5ms
[2026-07-22T07:16:52.224Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T07:16:52.225Z] [INFO] Worker audit completed in 5ms
[2026-07-22T07:18:52.158Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T07:18:52.159Z] [INFO] Worker optimize completed in 3ms
[2026-07-22T07:20:52.127Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-22T07:20:52.128Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-22T07:20:52.130Z] [INFO] Worker consolidate completed in 8ms
[2026-07-22T07:22:52.126Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T07:22:52.128Z] [INFO] Worker testgaps completed in 5ms
[2026-07-22T07:26:52.232Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T07:26:52.233Z] [INFO] Worker audit completed in 4ms
[2026-07-22T07:29:52.148Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T07:29:52.149Z] [INFO] Worker map completed in 3ms
[2026-07-22T07:33:52.174Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T07:33:52.176Z] [INFO] Worker optimize completed in 7ms
[2026-07-22T07:36:52.238Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T07:36:52.240Z] [INFO] Worker audit completed in 4ms
[2026-07-22T07:42:52.137Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T07:42:52.139Z] [INFO] Worker testgaps completed in 5ms
[2026-07-22T07:44:52.167Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T07:44:52.170Z] [INFO] Worker map completed in 6ms
[2026-07-22T07:46:52.261Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T07:46:52.262Z] [INFO] Worker audit completed in 5ms
[2026-07-22T07:48:52.187Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T07:48:52.189Z] [INFO] Worker optimize completed in 4ms
[2026-07-22T07:50:52.148Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-22T07:50:52.150Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-22T07:50:52.153Z] [INFO] Worker consolidate completed in 9ms
[2026-07-22T07:56:52.283Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T07:56:52.286Z] [INFO] Worker audit completed in 7ms
[2026-07-22T07:59:52.185Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T07:59:52.187Z] [INFO] Worker map completed in 4ms
[2026-07-22T08:02:52.155Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T08:02:52.157Z] [INFO] Worker testgaps completed in 5ms
[2026-07-22T08:03:52.208Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T08:03:52.217Z] [INFO] Worker optimize completed in 15ms
[2026-07-22T08:06:52.291Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T08:06:52.292Z] [INFO] Worker audit completed in 3ms
[2026-07-22T08:14:52.201Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T08:14:52.203Z] [INFO] Worker map completed in 4ms
[2026-07-22T08:16:52.308Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T08:16:52.311Z] [INFO] Worker audit completed in 7ms
[2026-07-22T08:18:52.265Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T08:18:52.267Z] [INFO] Worker optimize completed in 7ms
[2026-07-22T08:20:52.179Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-22T08:20:52.182Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-22T08:20:52.200Z] [INFO] Worker consolidate completed in 30ms
[2026-07-22T08:22:52.175Z] [INFO] Worker testgaps deferred: Memory too low: 9.8% free
[2026-07-22T08:26:52.326Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T08:26:52.329Z] [INFO] Worker audit completed in 7ms
[2026-07-22T08:26:52.345Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T08:26:52.346Z] [INFO] Worker testgaps completed in 3ms
[2026-07-22T08:29:52.220Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T08:29:52.224Z] [INFO] Worker map completed in 8ms
[2026-07-22T08:33:52.280Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T08:33:52.282Z] [INFO] Worker optimize completed in 6ms
[2026-07-22T08:36:52.358Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T08:36:52.361Z] [INFO] Worker audit completed in 7ms
[2026-07-22T08:42:52.185Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T08:42:52.187Z] [INFO] Worker testgaps completed in 6ms
[2026-07-22T08:44:52.233Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T08:44:52.234Z] [INFO] Worker map completed in 5ms
[2026-07-22T08:46:52.378Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T08:46:52.379Z] [INFO] Worker audit completed in 5ms
[2026-07-22T08:48:52.287Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T08:48:52.289Z] [INFO] Worker optimize completed in 5ms
[2026-07-22T08:50:52.216Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-22T08:50:52.217Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-22T08:50:52.219Z] [INFO] Worker consolidate completed in 7ms
[2026-07-22T08:56:52.391Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-22T08:56:52.393Z] [INFO] Worker audit completed in 5ms
[2026-07-22T08:59:52.250Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-22T08:59:52.253Z] [INFO] Worker map completed in 8ms
[2026-07-22T09:02:52.197Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-22T09:02:52.198Z] [INFO] Worker testgaps completed in 5ms
[2026-07-22T09:03:52.306Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-22T09:03:52.308Z] [INFO] Worker optimize completed in 6ms
